no,course_code,final,homework,midterm,speech_and_discussion,student_id,weekly_study_hours_by_course,part_time_hours_by_course,financial_support_by_course,emotional_support_by_course
1,CHE 101,6,6,6,10,28211280315,1.061810178,1.405094983,0.221209048,0.838291191
2,CHE 101,9.6,10,10,10,28219050626,1.92607146,0.206281416,0.668620465,0.961336011
3,CHE 101,6.9,10,10,10,27211324670,1.597990913,0.511599527,0.952184193,0.894753173
4,CHE 101,0,0,0,0,28212200703,1.397987726,0.170210282,0.660379342,0.473143671
5,CHE 101,1.9,6.8,5.5,9,27218122764,0.734027961,1.387040427,0.510535941,0.615380895
6,CHE 101,2.6,0,0,6,28212205682,0.733991781,1.31600903,0.714630575,0.390411591
7,CHE 101,0,6.8,3,6,27211253115,0.587125418,0.386912442,0.566602312,0.967835719
8,CHE 101,4.1,7.6,5.8,8,24211208112,1.799264219,0.989976069,0.636493431,0.724322244
9,CHE 101,3.4,7.2,3,10,28211352230,1.401672518,1.2258333,0.953171847,0.460049964
10,CHE 101,8.8,10,10,10,28217702754,1.562108867,0.832801217,0.50888211,0.770190479
11,CHE 101,2.2,6.8,6,8,27211236415,0.530876741,0.794475868,0.968952451,0.732689768
12,CHE 101,7.8,9.5,6,9,29207365759,1.954864778,0.362778436,0.924280514,0.550713903
13,CHE 101,4.7,6.4,6.5,8,27211200979,1.748663961,0.139654152,0.356632908,0.379490315
14,CHE 101,7.7,8.5,7.5,10,29207365792,0.818508666,1.345823637,0.255489041,0.770101237
15,CHE 101,0,7.6,0,8,24214107111,0.772737451,1.350627086,0.280622401,0.664215391
16,CHE 101,4.7,8.5,4.8,9,29211154131,0.775106765,0.949652186,0.214577461,0.840622874
17,CHE 101,5.2,7.2,8.9,9,28212201430,0.956363364,0.508544687,0.275554369,0.664114451
18,CHE 101,7.3,9.3,6.3,8,29211152218,1.287134647,0.523814362,0.746405419,0.89652705
19,CHE 101,0.7,4.8,4,8,27201240790,1.147917528,1.088933518,0.256950919,0.686334787
20,CHE 101,8.9,10,8.3,10,29207364958,0.93684371,1.34566539,0.455180504,0.69265658
21,CHE 101,1.6,0,0,0,28212228300,1.417779342,1.330629636,0.875900249,0.913657522
