course_code,component,weight
CHE 101,final,0.55
CHE 101,homework,0.15
CHE 101,midterm,0.15
CHE 101,speech_and_discussion,0.15
CHE 101_lab,attend,0.2
CHE 101_lab,final,0.55
CHE 101_lab,practice,0.25
CMU-CS 246,final,0.35
CMU-CS 246,group_project,0.2
CMU-CS 246,homework,0.15
CMU-CS 246,midterm,0.2
CMU-CS 246,regular,0.1
CMU-CS 252,final,0.45
CMU-CS 252,group_project,0.1
CMU-CS 252,homework,0.1
CMU-CS 252,midterm,0.15
CMU-CS 252,practice,0.2
CMU-CS 297,attend,0.15
CMU-CS 297,final,0.55
CMU-CS 297,homework,0.1
CMU-CS 297,regular,0.15
CMU-CS 297,speech_and_discussion,0.05
CMU-CS 303,final,0.2
CMU-CS 303,homework,0.1
CMU-CS 303,individual_project,0.15
CMU-CS 303,midterm,0.2
CMU-CS 303,practice,0.05
CMU-CS 303,regular,0.1
CMU-CS 303,student_id_2,0.15
CMU-CS 311,final,0.35
CMU-CS 311,group_project,0.2
CMU-CS 311,homework,0.1
CMU-CS 311,midterm,0.15
CMU-CS 311,practice,0.1
CMU-CS 311,regular,0.1
CMU-CS 316,attend,0.05
CMU-CS 316,final,0.4
CMU-CS 316,homework,0.1
CMU-CS 316,individual_project,0.15
CMU-CS 316,midterm,0.2
CMU-CS 316,practice,0.1
CMU-CS 445,final,0.35
CMU-CS 445,group_project,0.2
CMU-CS 445,homework,0.15
CMU-CS 445,midterm,0.2
CMU-CS 445,regular,0.1
CMU-CS 447,attend,0.1
CMU-CS 447,final,0.35
CMU-CS 447,midterm,0.25
CMU-CS 447,regular,0.05
CMU-CS 447,speech_and_discussion,0.25
CMU-ENG 130,attend,0.15
CMU-ENG 130,final,0.4
CMU-ENG 130,homework,0.15
CMU-ENG 130,individual_project,0.15
CMU-ENG 130,regular,0.15
CMU-ENG 230,final,0.3
CMU-ENG 230,group_project,0.25
CMU-ENG 230,midterm,0.2
CMU-ENG 230,regular,0.25
CMU-IS 401,final,0.4
CMU-IS 401,homework,0.1
CMU-IS 401,individual_project,0.15
CMU-IS 401,midterm,0.2
CMU-IS 401,regular,0.15
CMU-IS 432,final,0.35
CMU-IS 432,group_project,0.2
CMU-IS 432,homework,0.1
CMU-IS 432,midterm,0.2
CMU-IS 432,regular,0.15
CMU-SE 100,final,0.4
CMU-SE 100,group_project,0.15
CMU-SE 100,homework,0.1
CMU-SE 100,homework_2,0.05
CMU-SE 100,midterm,0.2
CMU-SE 100,regular,0.15
CMU-SE 100,regular_2,0.1
CMU-SE 214,final,0.35
CMU-SE 214,group_project,0.2
CMU-SE 214,homework,0.1
CMU-SE 214,midterm,0.2
CMU-SE 214,regular,0.15
CMU-SE 252,final,0.45
CMU-SE 252,group_project,0.1
CMU-SE 252,homework,0.1
CMU-SE 252,midterm,0.15
CMU-SE 252,practice,0.2
CMU-SE 303,final,0.35
CMU-SE 303,group_project,0.2
CMU-SE 303,homework,0.1
CMU-SE 303,midterm,0.2
CMU-SE 303,regular,0.15
COM 141,attend,0.2
COM 141,final,0.3
COM 141,group_project,0.25
COM 141,homework,0.25
COM 141,regular,0.25
COM 142,attend,0.15
COM 142,final,0.35
COM 142,group_project,0.2
COM 142,homework,0.2
COM 142,regular,0.3
CS 201,attend,0.05
CS 201,final,0.45
CS 201,homework,0.05
CS 201,individual_project,0.1
CS 201,midterm,0.15
CS 201,practice,0.15
CS 201,speech_and_discussion,0.05
CS 211,attend,0.05
CS 211,final,0.55
CS 211,homework,0.05
CS 211,midterm,0.15
CS 211,practice,0.15
CS 211,speech_and_discussion,0.05
CS 466,attend,0.1
CS 466,final,0.45
CS 466,group_project,0.1
CS 466,midterm,0.15
CS 466,regular,0.15
CS 466,speech_and_discussion,0.05
DTE-IS 102,attend,0.1
DTE-IS 102,final,0.55
DTE-IS 102,practice,0.1
DTE-IS 102,regular,0.15
DTE-IS 102,speech_and_discussion,0.1
DTE-IS 152,attend,0.1
DTE-IS 152,final,0.3
DTE-IS 152,group_project,0.25
DTE-IS 152,practice,0.25
DTE-IS 152,speech_and_discussion,0.1
EVR 205,attend,0.2
EVR 205,final,0.55
EVR 205,regular,0.25
HIS 221,attend,0.15
HIS 221,final,0.55
HIS 221,midterm,0.2
HIS 221,regular,0.1
HIS 362,attend,0.15
HIS 362,final,0.55
HIS 362,practice,0.2
HIS 362,regular,0.1
IS-ENG 136,final,0.55
IS-ENG 136,midterm,0.15
IS-ENG 136,regular,0.15
IS-ENG 136,speech_and_discussion,0.15
IS-ENG 137,final,0.55
IS-ENG 137,midterm,0.15
IS-ENG 137,regular,0.15
IS-ENG 137,speech_and_discussion,0.15
IS-ENG 186,final,0.55
IS-ENG 186,midterm,0.15
IS-ENG 186,regular,0.15
IS-ENG 186,speech_and_discussion,0.15
IS-ENG 187,final,0.55
IS-ENG 187,midterm,0.15
IS-ENG 187,regular,0.15
IS-ENG 187,speech_and_discussion,0.15
IS-ENG 236,final,0.55
IS-ENG 236,midterm,0.15
IS-ENG 236,regular,0.15
IS-ENG 236,speech_and_discussion,0.15
LAW 201,attend,0.1
LAW 201,final,0.55
LAW 201,midterm,0.25
LAW 201,regular,0.1
MTH 103,attend,0.1
MTH 103,final,0.55
MTH 103,midterm,0.15
MTH 103,regular,0.1
MTH 103,speech_and_discussion,0.1
MTH 103_lab,attend,0.1
MTH 103_lab,final,0.55
MTH 103_lab,midterm,0.15
MTH 103_lab,regular,0.1
MTH 103_lab,speech_and_discussion,0.1
MTH 104,attend,0.1
MTH 104,final,0.55
MTH 104,midterm,0.15
MTH 104,regular,0.1
MTH 104,speech_and_discussion,0.1
MTH 203,attend,0.1
MTH 203,final,0.55
MTH 203,midterm,0.15
MTH 203,regular,0.1
MTH 203,speech_and_discussion,0.1
MTH 204,attend,0.1
MTH 204,final,0.55
MTH 204,homework,0.25
MTH 204,speech_and_discussion,0.1
MTH 254,attend,0.05
MTH 254,final,0.55
MTH 254,homework,0.05
MTH 254,midterm,0.15
MTH 254,practice,0.15
MTH 254,speech_and_discussion,0.05
MTH 254_lab,attend,0.05
MTH 254_lab,final,0.55
MTH 254_lab,homework,0.05
MTH 254_lab,midterm,0.15
MTH 254_lab,practice,0.15
MTH 254_lab,speech_and_discussion,0.05
MTH 291,attend,0.1
MTH 291,final,0.55
MTH 291,midterm,0.15
MTH 291,regular,0.1
MTH 291,speech_and_discussion,0.1
MTH 341,attend,0.1
MTH 341,final,0.55
MTH 341,midterm,0.15
MTH 341,regular,0.1
MTH 341,speech_and_discussion,0.1
PHI 100,attend,0.2
PHI 100,final,0.8
PHI 100,Điểm lần 2,0.8
PHI 150,attend,0.15
PHI 150,final,0.55
PHI 150,practice,0.2
PHI 150,regular,0.1
PHY 101,final,0.55
PHY 101,homework,0.15
PHY 101,midterm,0.15
PHY 101,speech_and_discussion,0.15
PHY 101_lab,attend,0.2
PHY 101_lab,final,0.55
PHY 101_lab,practice,0.25
POS 151,attend,0.15
POS 151,essay,0.2
POS 151,final,0.55
POS 151,practice,0.2
POS 151,regular,0.1
POS 351,attend,0.15
POS 351,essay,0.2
POS 351,final,0.55
POS 351,regular,0.1
POS 361,attend,0.15
POS 361,final,0.55
POS 361,practice,0.2
POS 361,regular,0.1
STA 151,attend,0.1
STA 151,final,0.55
STA 151,midterm,0.15
STA 151,regular,0.1
STA 151,speech_and_discussion,0.1
STA 151_lab,attend,0.1
STA 151_lab,final,0.55
STA 151_lab,midterm,0.15
STA 151_lab,regular,0.1
STA 151_lab,speech_and_discussion,0.1
