course_code,n_valid,MAE,RMSE,R2
CHE 101,45,1.4003502058224966,1.7876101700578104,0.6340116378281044
CMU-CS 246,23,1.2267759232157858,1.6614075796474126,0.7032082863309167
CMU-CS 252,6,1.447157762135589,1.895039959976218,0.08673105258095537
CMU-CS 297,13,0.6438434039200603,0.998167563852573,0.9032158435335177
CMU-CS 303,5,1.382407159011326,1.6105249691207584,0.8025192870506898
CMU-CS 311,18,1.5429600578369356,2.09476183452037,-0.02228383255531874
CMU-CS 316,9,2.007221050545554,2.246949122683032,0.3060861147147488
CMU-CS 445,11,1.4568929326984452,1.7176273007590261,-0.17065478081537777
CMU-CS 447,10,1.4224355543204,1.9007743655996532,0.49750442435038056
CMU-CS 462,10,2.29324688386275,2.7402126000811853,0.12138108685322069
CMU-ENG 130,18,1.319012663145645,1.7589434910300952,0.40094432401114377
CMU-ENG 230,7,1.6169945364659226,2.4938886138553586,0.2645529695025033
CMU-IS 401,13,1.2007191685507401,1.5363337456358788,0.6264894632022293
CMU-IS 432,10,1.2989162189084635,1.6270743615504626,0.40315380602064077
CMU-SE 100,10,1.8433945611234417,2.458802120344604,0.033938756649602775
CMU-SE 214,6,1.2216839272274835,1.3953104675757222,-0.0035522169723611885
CMU-SE 252,11,1.055175973744891,1.4312747974484117,0.5968082028642278
CMU-SE 303,12,1.0935973598960353,1.3073879298633435,0.7629863832929478
COM 141,20,0.9733897997464261,1.263223260045688,0.8336474158420578
COM 142,22,1.3413815116939138,2.070825770113529,0.6513684467959566
CS 201,15,2.1384975121695917,2.7962204579635492,0.2071705448794816
CS 211,23,1.1674659216024412,1.4070273767483592,0.8056347273869199
CS 466,12,1.4458907087825477,1.7846895599662074,0.035219135748544406
DTE-IS 102,27,0.6045670309652914,0.7527649255419531,0.2945118708389066
DTE-IS 152,10,0.4252229856343768,0.716623350187091,-2.0137853640456003
ES 221,12,1.503478363286779,1.7459293803149731,0.04368018790681527
EVR 205,22,2.418762931547642,2.8445923854524513,0.2859044514883947
HIS 221,24,1.0953609858088782,1.3182439897004405,0.6192064533836837
HIS 362,36,1.5696556537099053,1.8942340430940612,0.25293920760757604
IS-ENG 136,11,1.509028801579255,1.7682291194374742,0.11833432654853981
IS-ENG 137,16,0.97869914352404,1.207586934407589,0.04686049923943347
IS-ENG 186,19,1.1617887363110797,1.5274969450714848,0.2716421629222602
IS-ENG 187,4,1.036239222093414,1.460458546078457,-0.8959459242787555
IS-ENG 236,6,1.0956017564015206,1.3712804968755457,0.05625585891531082
LAW 201,41,1.1781293642413582,1.5120706370971462,0.6962072497761909
MTH 103,20,1.547846948685087,1.7727508289908063,0.07429713857282205
MTH 104,17,1.4290556793361953,1.7574371441902021,0.38398815993081425
MTH 203,10,1.3823374723064776,1.6527177996722813,0.1662415294546603
MTH 204,10,1.7046048599460772,1.9929392898553808,0.24202156239517758
MTH 254,8,1.3356386206648283,1.5932271158193083,0.17165077949601104
MTH 291,16,1.0939668968895508,1.30596744504989,0.8172430192008158
MTH 341,13,1.4997228930513247,1.9188929720046863,0.12052208968353606
PHI 100,105,0.5335339367999535,0.6363454321869871,0.9456200952699679
PHI 150,34,1.4839551272661444,1.9584272638748301,0.06759640516512
PHY 101,20,0.8292121061412366,1.139530754723818,0.43168429740732683
POS 151,38,1.5384104274388586,1.8262094256391426,0.49241553141258476
POS 351,38,1.8583567324897814,2.4335413754435153,0.10608894051104412
POS 361,39,1.0081915140392619,1.1657107517182428,0.22560552727711936
STA 151,41,1.478125812251219,1.8254720976575416,0.5402250231749622
